id;acao_critica;nome_responsavel;id_responsavel;data_acao;instrucao_acao;id_indicador_critica;criado_em;atualizado_em;is_notificado
1;how instead;near indeed;17911;2025-03-21;overconfidently regular powerless;18233;2025-03-22T05:42:54;2025-03-22T12:26:44;false
2;um first finally;duh zowie easily;10088;2025-03-22;hmph rich;13175;2025-03-21T21:02:00;2025-03-22T14:12:53;false
3;likely;during minus pasta;18887;2025-03-22;wherever zowie;8896;2025-03-22T12:47:04;2025-03-22T14:19:13;true
4;penalise;meh whoever;30274;2025-03-22;pastel ack;3134;2025-03-21T19:44:22;2025-03-22T14:42:11;false
5;yearningly;cautious jeopardise radiant;2464;2025-03-22;gee qua;2607;2025-03-21T22:47:09;2025-03-21T21:19:05;false
6;those molasses;sociable spice ick;10355;2025-03-22;wide-eyed at goat;23716;2025-03-22T06:07:42;2025-03-22T06:57:47;true
7;jaggedly gosh;about warmly sadly;28442;2025-03-22;aw recklessly;1330;2025-03-22T08:20:36;2025-03-22T05:56:26;false
8;potentially;slowly;31158;2025-03-22;ouch consequently;19595;2025-03-22T18:39:27;2025-03-22T01:56:38;true
9;shinny quash belabor;an;25762;2025-03-22;while indeed;21632;2025-03-22T18:58:51;2025-03-22T09:03:10;false
10;camouflage above;supposing;9388;2025-03-22;unsung;28556;2025-03-21T23:18:34;2025-03-22T11:11:06;false
