id;codigo_indicador;nome_indicador;descricao_indicador;unidade;tendencia;id_processo;id_meta_indicador
1;unsightly;slim;er peppery;MONETARIO;MENOR;5935;199
2;tedious lazily;honestly while;manacle mmm boohoo;DECIMAL;MAIOR;9180;9701
3;because coconut hopeful;submissive;ew leafy stained;UNITARIO;MENOR;8527;13369
4;when wonderful;toot yowza haste;wrongly ack yawningly;PERCENTUAL;ESTABILIZAR;12780;27892
5;after aha;loudly zowie;time accouter;PERCENTUAL;MENOR;1805;5394
6;overlooked um deadly;following given;so er outlying;DECIMAL;MENOR;18590;20682
7;round bumpy oxidize;on;queasy;DECIMAL;MAIOR;3988;12821
8;circa finally;wage scrip;zowie;PERCENTUAL;MAIOR;12635;2723
9;vague brass;boo factorise;kindly extroverted;MONETARIO;ESTABILIZAR;13119;12163
10;squeaky yuck;drat;vivid because;UNITARIO;MAIOR;19301;19922
