id;id_indicador_meta;id_plano;analise_critica;observacao;mes;ano;criado_por;criado_em;atualizado_por;atualizado_em
1;20981;8736;instantly foolishly though;while filter;15928;19779;9615;2024-12-13T04:18:22;31813;2024-12-13T11:48:33
2;31689;19836;exacerbate cleverly;joshingly crank pharmacopoeia;19872;14030;12420;2024-12-13T11:59:53;27920;2024-12-13T02:41:52
3;19265;9115;reproachfully;sheepishly;10403;28434;2427;2024-12-13T11:28:03;475;2024-12-13T00:25:23
4;14547;11067;disappointment very;at lawful;20646;8737;9110;2024-12-13T18:04:36;4916;2024-12-13T15:35:32
5;8398;12182;before legal;rotten;27325;7346;32694;2024-12-13T19:19:09;15730;2024-12-13T15:37:54
6;28909;21292;majority jubilantly;lounge entry lovely;4739;27186;4830;2024-12-13T07:05:15;20195;2024-12-13T01:12:45
7;30241;4966;mysteriously oof;almighty;20355;19444;25624;2024-12-13T10:42:17;7072;2024-12-13T08:52:13
8;875;21465;before;drat and;13767;971;19205;2024-12-13T09:11:55;3319;2024-12-13T17:36:04
9;20489;32179;entrench although thankfully;filthy;4983;27119;23187;2024-12-13T03:45:07;9438;2024-12-13T11:35:24
10;9167;7183;mechanically;in minus;9903;4775;2877;2024-12-13T02:57:04;12317;2024-12-13T06:22:23
