id;frequencia;ano_indicador;meta_01;meta_02;meta_03;meta_04;meta_05;meta_06;meta_07;meta_08;meta_09;meta_10;meta_11;meta_12;medicao_01;medicao_02;medicao_03;medicao_04;medicao_05;medicao_06;medicao_07;medicao_08;medicao_09;medicao_10;medicao_11;medicao_12
1;QUADRIMESTRAL;punctuation lack;29891.98;2299.44;600.36;7696.6;19216.5;32343.47;30774.59;31624.72;6881.49;7539.1;19152.93;6118.28;518.09;12115.46;23254.46;4328.99;8720.2;18084.01;7761.95;6897.08;26604.47;25311;15461.4;32341.45
2;QUADRIMESTRAL;where;6011.47;1061.83;30063.16;30800.01;8830.58;29287.75;5940.91;29947.36;32094.04;23543.09;18622.68;25416.52;30908.52;1838.69;11414.93;16575.04;10825.23;6412.87;8769.61;5472.68;27817.25;3141.04;4787.84;21596.71
3;ANUAL;familiarize above;31223.41;20419.94;22121.74;6517.86;31507.22;5438.88;23670.34;27166.11;20275.62;23537.78;750.35;18921.37;10342.87;13033.37;29009.84;15775.83;12527.88;631.37;17046.21;29611.95;30862.33;18907.63;14459.23;11049.67
4;BIMESTRAL;beautifully deadly restfully;484.19;23897.51;7404.67;23774.31;21084.69;24506.61;13773.37;25473.63;3504.98;13525.43;19892.23;4860.19;25620.86;20355.21;13550.85;28486.47;22674.35;6515.21;21555.23;20547.56;23394.06;13466.78;8758.87;16043.31
5;BIMESTRAL;nor yellowish ferociously;4341.63;10732.16;22450.6;20103.06;22131.68;6440.14;6600.9;2000.04;27625.81;5448.84;17667.39;5730.34;19523.52;22959.09;11073.36;22392.96;30864.68;27647.5;4345.59;16517.09;4477.51;6523.57;7841;21357.5
6;BIMESTRAL;cautiously polo;20385.68;19795.89;19593.82;31108.32;12195.61;20659.73;4677.55;9941.88;24239.86;356.9;4722.58;1627.11;31018.59;12469.63;18010.02;23989.55;17039.65;6615.82;25972.86;18356.07;12140.83;4282.86;10871.42;8407.59
7;SEMESTRAL;potentially pfft;6224.54;12409.52;31259.11;19392.04;25533.33;26097.4;3870.73;22387.15;8245.2;10622.69;16702.16;12941.86;10287.33;31924.08;31805.6;6710.95;15138.44;23056.24;17352.18;21696.75;16032.22;2002.95;31987.18;1538.61
8;MENSAL;trouble though excepting;15494.46;19721.5;8083.77;17238.5;12561.97;6012.93;25461.6;9388.02;18507.39;17387.32;28631.33;25088.69;20023.23;586.11;32030.85;6743.88;1642.37;3308;27279.61;17278.77;31808.74;31070.17;3662.51;6873.9
9;SEMESTRAL;righteously fear;28170.08;7538.46;5875;19396.18;27993.94;9420.44;24498.32;26731.01;13051.58;4003.72;7013.71;2531.26;1906.25;23854.35;20733.27;10193.88;1909.74;31832.95;31001.4;11174.31;11237.61;30590.76;20075.67;2261.85
10;QUADRIMESTRAL;tease;11045.39;45.23;22904.04;30656.67;27306.12;4215.75;15025.68;18248.74;25775.65;17242.94;17830.93;16456.84;27543.06;29374.24;18412.03;5731.73;9302.16;2847.59;30523.6;7841.58;19432.59;1302.36;16832.57;3171.77
