id;descricao;indicador;medicao;acao;avaliacao_resultado;id_processo;monitoramento;periodo
1;ceramic clarinet;why somewhere;save masonry velvety;near miserably;oh;28898;QUADRIMESTRAL;QUADRIMESTRAL
2;barricade screen oh;until vivaciously corner;what tepid wherever;forswear;bikini;21269;SEMESTRAL;BIMESTRAL
3;aw grok smooth;interpose paralyse;irritably yippee;politely;duh deduce;9129;ANUAL;BIMESTRAL
4;sympathetically questioningly;stultify visitor hungrily;sternly bean;nonbeliever reckless finally;above;13068;ANUAL;MENSAL
5;alpenglow budget whether;against;how jealously;sheer;midst to;16942;BIMESTRAL;QUADRIMESTRAL
6;inasmuch;atop;hex pish pro;better;worth;1243;BIMESTRAL;BIMESTRAL
7;oh;but yippee innocently;bitterly adventurously;tunnel incidentally;meanwhile but;13736;SEMESTRAL;TRIMESTRAL
8;until;absent;giving toward;underperform;hmph;3461;ANUAL;ANUAL
9;when;along generously;since or;ferociously;though;3436;QUADRIMESTRAL;ANUAL
10;deliver apropos;bah ah aboard;elevate whoever;kind failing;energetically upon;31814;SEMESTRAL;TRIMESTRAL
