id;nome_fisico;nome_original;extensao;caminho;data_criacao
1;glorious mismanage forestry;ew plus;ugh;hmph;2024-08-07T12:35:53
2;hm excepting crowded;finally swiftly glower;tipple swing;likely urban whereas;2024-08-07T21:22:06
3;tightly;gosh;detoxify;an;2024-08-07T21:35:23
4;coaxingly yet very;helplessly zowie psst;breakthrough acorn experienced;after decay;2024-08-07T20:36:15
5;phooey with actualize;antennae schnitzel;under worth;connotation that;2024-08-07T03:26:38
6;deputise which jade;spiffy reporter;keenly drat phooey;inasmuch chopsticks;2024-08-07T08:10:18
7;generously except sadly;wildly;override yesterday;gee;2024-08-07T07:03:21
8;outgoing;lest;oddball;refuse who wonderfully;2024-08-07T13:01:33
9;vigilant separately;till broadly;attractive;however longingly;2024-08-07T15:11:49
10;weeder;of outmaneuver;delightfully drat;nor remind fearful;2024-08-07T14:40:27
