id;lancado_em;parcial;meta_atingida;periodo;avaliacao;analise
1;2024-08-07T16:23:03;false;false;2024-08-07T04:07:12;arise bah buzzing;mewl foolishly
2;2024-08-07T04:03:33;true;false;2024-08-07T01:48:20;achiever;whenever pertain
3;2024-08-07T12:17:38;true;true;2024-08-07T17:57:44;bah geez;white blah toward
4;2024-08-07T16:36:08;false;false;2024-08-07T14:36:05;urgently uh-huh;indicator up
5;2024-08-07T22:32:36;true;true;2024-08-07T04:18:20;though;bobcat
6;2024-08-07T08:14:27;false;false;2024-08-07T16:22:36;purr anenst round;professionalise brr
7;2024-08-07T07:36:08;false;true;2024-08-07T13:45:58;neatly upbeat;upon
8;2024-08-07T23:47:48;true;false;2024-08-07T11:02:56;finally ah;at
9;2024-08-07T03:29:47;false;true;2024-08-07T01:34:00;continually;grove
10;2024-08-07T23:01:24;false;true;2024-08-07T05:47:46;astride trumpet;kindly inwardly
